timestamps,x
427.091005,1003.585663
428.039201,1003.585358
428.987299,1003.578415
429.935294,1003.568039
430.883109,1003.578415
431.83085,1003.57605
432.778538,1003.582993
433.726189,1003.57605
434.673772,1003.55217
435.621366,1003.548508
436.56888,1003.526917
437.516355,1003.526917
438.463624,1003.529129
439.410909,1003.550568
440.358153,1003.571472
441.305392,1003.580093
442.252558,1003.595047
443.199678,1003.597107
444.146796,1003.597107
445.093917,1003.594666
446.04102,1003.589935
446.987974,1003.588181
447.935123,1003.577347
448.882597,1003.568649
449.830188,1003.560944
450.77821,1003.536377
451.726296,1003.516846
452.674396,1003.511047
453.62264,1003.507156
454.570891,1003.507156
455.519047,1003.505325
456.467233,1003.505325
457.415413,1003.498306
458.363631,1003.497086
459.311739,1003.485641
460.259888,1003.476868
461.207846,1003.46756
462.155947,1003.464432
463.103858,1003.463593
464.051806,1003.463593
464.999854,1003.489838
465.948072,1003.50975
466.896414,1003.531647
467.844743,1003.542862
468.793038,1003.54805
469.741224,1003.54805
470.689302,1003.542404
471.637482,1003.537521
472.58548,1003.527145
473.533569,1003.527145
474.48151,1003.528519
475.429796,1003.529968
476.378024,1003.533783
477.325819,1003.532562
478.273275,1003.532562
479.220541,1003.523941
480.167719,1003.523254
481.114735,1003.523254
482.0618,1003.526382
483.008881,1003.528061
483.955836,1003.546677
484.902801,1003.549423
485.849429,1003.549423
486.796233,1003.546219
487.743178,1003.54126
488.690083,1003.524246
489.636813,1003.510971
490.583395,1003.496017
491.529831,1003.493729
492.476181,1003.495712
493.422422,1003.495712
494.368657,1003.518295
495.314846,1003.527756
496.260993,1003.528824
497.207061,1003.528824
498.153149,1003.523407
499.099247,1003.515625
500.045281,1003.514252
500.991301,1003.506699
501.937224,1003.506699
502.883206,1003.505783
503.829127,1003.505783
504.774946,1003.489761
505.720811,1003.485794
506.666595,1003.483734
507.612309,1003.464813
508.558286,1003.464813
509.504636,1003.470383
510.451444,1003.470383
511.398575,1003.471603
512.345829,1003.484344
513.293054,1003.485641
514.240362,1003.485641
515.187584,1003.488312
516.134937,1003.503113
517.082119,1003.520584
518.029363,1003.531036
518.976526,1003.557434
519.923746,1003.560028
520.870854,1003.562241
521.818146,1003.560028
522.765523,1003.549652
523.712705,1003.520355
524.65947,1003.520126
525.605962,1003.506699
526.552258,1003.502274
527.498294,1003.502274
528.444205,1003.494797
529.39002,1003.489609
530.335762,1003.484039
531.281342,1003.47702
532.226952,1003.470383
533.172433,1003.457108
534.117872,1003.444138
535.063241,1003.433914
536.008635,1003.426514
536.954086,1003.426514
537.899388,1003.430023
538.844546,1003.455124
539.789599,1003.471756
540.734598,1003.498917
541.679402,1003.519135
542.624323,1003.528671
543.569266,1003.528824
544.514137,1003.528671
545.459012,1003.518372
546.403798,1003.509064
547.348502,1003.509064
548.293223,1003.515778
549.238078,1003.527069
550.183066,1003.527679
551.128457,1003.528442
552.07419,1003.528442
553.02006,1003.522034
553.9659,1003.513947
554.911709,1003.512115
555.857571,1003.50975
556.803456,1003.50975
557.74934,1003.517761
558.695131,1003.522263
559.641019,1003.526459
560.586831,1003.526917
561.532575,1003.526459
562.478244,1003.526001
563.423955,1003.520737
564.369615,1003.511047
565.315031,1003.50441
566.260279,1003.511047
567.205363,1003.511734
568.150283,1003.520584
569.095033,1003.528671
570.039667,1003.535385
570.984248,1003.528671
571.92879,1003.526688
